Gene_names	Protein_names	Uniprot_IDs	logFC_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Ratio_H_L_count_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_Mix_CTRL IgM Immunoisolation	PEP
VPS26A	Vacuolar protein sorting-associated protein 26A	O75436;B4DLT1;F5H4L7;A8K3C1;G3V1N8;A8MZ56	-0.099	2	7.385	0	0
STX8	Syntaxin-8	Q9UNK0;I3L481;I3L0T9;I3L305	-0.102	1	6.73	0	0.00053
GDI2	Rab GDP dissociation inhibitor beta	B4DLV7;E7EU23;P50395;Q6IAT1;B3KVE3;Q8TB95;P31150;B4DHX4;Q5SX87;E9PFL7;Q5SX91;B4DH24;Q5SX86;Q5SX90;G5E9U5	-0.125	4	7.416	0	0
C17orf56	AP-4 complex accessory subunit tepsin	Q96N21;I3L3N1	-0.147	5	7.851	0	0
HSP90AB4P	Putative heat shock protein HSP 90-beta 4	Q58FF6	-0.156	1	7.358	0	0
ACSL3	Long-chain-fatty-acid--CoA ligase 3	B2RBE0;O95573;B3KN05;B3KMA6;H7BYZ7;Q6PIM8;F5GWH2	-0.161	1	7.398	0	0
GLO1	Lactoylglutathione lyase	Q04760	-0.163	1	6.74	0	0
VPS29;DKFZp667O202	Vacuolar protein sorting-associated protein 29	F8VXU5;H3BLV8;Q9UBQ0;Q5JPE4;Q05DG7	-0.172	3	7.631	0	0
SPTAN1;DKFZp564P0562	"Spectrin alpha chain, brain"	A6NG51;Q13813;F8W7K3;Q9UG16;B4DGT1;B4DTV8;A6NN88;Q14917	-0.176	5	7.123	0	0
TMX1;TXNDC	Thioredoxin-related transmembrane protein 1	Q9H3N1;B4DZX7	-0.184	1	6.695	0	9.00E-05
NRAS;KRAS;HRAS	"GTPase NRas;GTPase KRas;GTPase KRas, N-terminally "	P01111;Q5U091;I1SRC5;P01116;P01112;Q14014;Q92468;G3V5T7;G3V4K2;Q71SP6;Q7KZ06;Q96T27;P78460	-0.185	3	7.488	0	0
AARS	"Alanine--tRNA ligase, cytoplasmic"	B4DR45;P49588;H3BPK7	-0.194	1	6.536	0	0.00025
SNX2	Sorting nexin-2	B3KML1;B3KN57;O60749;Q53GG3;B4DEK4;B7Z408;Q13596;Q53GY8;Q53HL9;A6NKH4;Q59GU6;H0YK42;D6RC15;H0Y2M5;Q6ZRJ8	-0.2	11	8.099	0	0
ATP2C1	Calcium-transporting ATPase type 2C member 1	H0Y2Q7;B4E2Q0;B4DSW3;G8JLN9;P98194;B4E295;H0Y9V7;E7ERC6;B7Z3X9;G3XAH8;Q59G44;H0Y8X9;H0Y9S7	-0.205	5	7.682	0	0
YIPF6	Protein YIPF6	A8K9X0;Q96EC8;B4E1U7;G5E997;B1AV70	-0.212	3	8.19	0	0
HSP90AB2P	Putative heat shock protein HSP 90-beta 2	Q58FF8	-0.215	1	6.749	0	0
NAP1L1	Nucleosome assembly protein 1-like 1	F8W543;P55209;H0YIV4;B7Z2V4;F5H4R6;F8W0J6;B3KNT8;B7Z9C2;F8VV59;B3KV44;F8VY35;F8VUX1;F8VXI6;F8W118;F8W020;H0YHC3;H0YH88;F8VVB5;B7Z5H0;F5H1X5;F8VRJ2	-0.217	1	7.234	0	0
PARK7	Protein DJ-1	Q99497	-0.219	1	6.708	0	0
ERO1L	ERO1-like protein alpha	Q96HE7;B2RD00;Q86YB8;Q5TAE8;G3V2H0	-0.225	3	7.446	0	0
FAM45B;FAM45A	Protein FAM45B;Protein FAM45A	Q6NSW5;Q8TCE6;B4DNL9;B4DMU4	-0.231	1	7.059	0	3.00E-04
PTGFRN	Prostaglandin F2 receptor negative regulator	Q9P2B2;Q4QQP8;H0YFT2;Q1WWL2	-0.234	2	7.029	0	1.00E-05
TECR	"Trans-2,3-enoyl-CoA reductase"	B3KM97;Q9NZ01;B3KSQ1	-0.247	1	7.424	0	0
TRAPPC9	Trafficking protein particle complex subunit 9	Q96Q05;H0YBR0	-0.248	1	6.325	0	0.00013
STRN3		H0YJZ4	-0.257	1	6.834	0	0
AP1S1	AP-1 complex subunit sigma-1A	H7C1E4;P61966	-0.265	1	7.041	0	2.00E-05
FAM18B2;FAM18B1;FAM18B2-CDRT4	Protein FAM18B1;Protein FAM18B2	C9JYS5;Q9NYZ1;B4E0Q0;Q96ET8;C9JPH1;D6R9A3	-0.268	4	8.15	0	0
CKAP4	Cytoskeleton-associated protein 4	Q07065;Q6NWZ1;Q8TB01;B3KVX6	-0.276	2	7.315	0	0
EPHX1	Epoxide hydrolase 1	B2R8N0;P07099;Q6FGZ3	-0.28	1	6.877	0	0.00317
SEC23IP	SEC23-interacting protein	B3KM47;Q9Y6Y8;B4DWG1;F5H0L8;H7C0V8;B3KN10;H7C4C4	-0.285	1	6.67	0	0
NAPA	Alpha-soluble NSF attachment protein	P54920;B4DIV0;Q9H115;B4DK44;B4DGP9;Q4G0M0	-0.286	10	8.377	0	0
DHCR24;Nbla03646	Delta(24)-sterol reductase	Q15392;B7Z817;B7ZAV4;Q3LIE7;B7Z919;F5H0H1;B7Z546;H7C4B7	-0.286	2	7.274	0	0
GOLM1;GOLPH2	Golgi membrane protein 1	Q5VZE3;B3KNK9;Q8NBJ4	-0.287	1	6.919	0	9.00E-05
RAB18	Ras-related protein Rab-18	Q9NP72;B7Z5V3;F5H4U3;B7Z4P9;Q5W0J0;H0Y6T8;Q5W0I9;B7Z333;Q59EW3;Q9BZT2	-0.29	3	7.638	0	0
KRT18	"Keratin, type I cytoskeletal 18"	B2RA03;P05783;F8VZY9;CON__P05784;CON__A2AB72	-0.29	1	7.304	0	0
TUBAL3	Tubulin alpha chain-like 3	A6NHL2	-0.295	2	7.017	0	0
SEC11A;SPC18;SEC11L1	Signal peptidase complex catalytic subunit SEC11A	Q7Z4Z6;H0YK83;P67812;Q6IAM7;H0YK72;H0YNG3;B4DUL4;H0YNA5;H0YNX5	-0.295	1	6.903	0	0.00366
SACM1L	Phosphatidylinositide phosphatase SAC1	Q9NTJ5;B4DK71;B4DVV3;E9PGZ4;B3KX17;C9JV50;F8WDN7;F8WD07	-0.298	3	7.653	0	0
NPEPPS	Puromycin-sensitive aminopeptidase	P55786;B7Z899;E9PLK3;B7Z4B2;B7Z463;B3KU93;B7Z1H4;B7Z1V9;B3KTP2;F5H0W3;A6NEC2;E7EWZ2;E5RJ24;E9PP11;H0YAQ6;B7Z6T6;F5GZY4;H0YDG0;E9PPD4;E9PJY4	-0.312	1	6.609	0	0
PSME3	Proteasome activator complex subunit 3	P61289;Q6FHK7;B3KQ25	-0.316	1	7.087	0	0.0014
RANBP1	Ran-specific GTPase-activating protein	B4DE76;P43487;B7Z6U1;C9JDM3;C9JJ34;C9JGV6;Q53EY3;D3DX26;C9JXG8;C9JIC6	-0.321	1	7.051	0	0
SPTBN1	"Spectrin beta chain, brain 1"	B2ZZ89;Q01082;D6W5C0;F8W6C1;B4DIF8	-0.323	5	7.27	0	0
PLS3;LCP1	Plastin-3;Plastin-2	A8K579;P13797;Q53GY0;B4DGB4;B4DPW9;F8W8D8;B7Z6M1;Q96HI1;P13796;Q53FI1;Q59GX5;B4DG31;Q14651;Q5TBN3;B4DI60;A7E2S2;C9JAM8;H7C4N2	-0.324	6	7.842	0	0
SV2A	Synaptic vesicle glycoprotein 2A	A8K6Q3;Q7L0J3	-0.329	2	7.396	0	0
MIF	Macrophage migration inhibitory factor	I4AY87;P14174	-0.339	1	7.304	0	0
ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 	P16615;H7C5W9;O14983;Q7Z675;Q8N3X5;Q7Z6E5;B3KY17;Q93084;A8K9K1;H3BVB2	-0.34	7	7.894	0	0
MARCKSL1	MARCKS-related protein	P49006	-0.342	1	6.859	0	0.00396
PTPN1	Tyrosine-protein phosphatase non-receptor type 1	A8K3M3;P18031;B4DSN5	-0.342	1	6.606	0	0.00088
SFT2D3	Vesicle transport protein SFT2C	Q587I9	-0.345	1	7.143	0	1.00E-05
TMEM184C	Transmembrane protein 184C	Q9NVA4	-0.349	1	7.067	0	0
MYADM	Myeloid-associated differentiation marker	Q96S97;B4DG42;C9JC07;C9J5M0;C9JZL8;C9JJV6	-0.36	1	6.925	0	0
GOSR1	Golgi SNAP receptor complex member 1	A8K5R6;O95249;E9PCW1;B4DQA8;G5E9T8;Q96QI9	-0.369	2	7.736	0	2.00E-05
KCT2;C5orf15	Keratinocyte-associated transmembrane protein 2	Q8NC54;B4DPV8	-0.371	5	7.957	0	0
AP1G2	AP-1 complex subunit gamma-like 2	O75843;Q86V28;B4E3E1;Q86U03;H0YJ47;Q86U41	-0.382	2	7.452	0	0.00015
SYNGR1	Synaptogyrin-1	O43759;B5MCD7;F8WCE4;A2A283;Q59FT7	-0.389	4	7.984	0	0
ARF5	ADP-ribosylation factor 5	B4DLJ3;A4D0Z3;P84085;C9J1Z8	-0.398	1	7.028	0	0
SEC24C	Protein transport protein Sec24C	P53992;G5EA31;B4DSN3;E7EP00;B4DZT4;B7ZAY6	-0.417	19	8.362	0	0
TMEM87A	Transmembrane protein 87A	A8K0M6;A8K285;Q8NBN3;B4DN92;A8K369;H3BTS6	-0.429	5	7.836	0	0
ECT2	Protein ECT2	G5E9L8;Q9H8V3;H7C3G1	-0.43	1	6.932	0	0.00417
VCL	Vinculin	P18206;B3KXA2;F5H7T3;B4E3Q9;G8JLL3;Q5JQ13;B4DKC9;B4DTM7	-0.433	3	7.334	0	0
RPP30;RP11-320F15.1	Ribonuclease P protein subunit p30	E9PB02;P78346;C9JJX7;Q5VU10;Q5VU11;B4DJR3	-0.433	1	6.894	0	0
ZMPSTE24	CAAX prenyl protease 1 homolog	O75844;B3KNM6	-0.443	3	7.787	0	0.00102
LSM4	U6 snRNA-associated Sm-like protein LSm4	Q9Y4Z0	-0.445	2	7.065	0	0.00035
SSR4	Translocon-associated protein subunit delta	P51571;A6NLM8;H7C1C6	-0.446	1	6.797	0	2.00E-05
TGOLN2	Trans-Golgi network integral membrane protein 2	D6W5K3;O43493;F8WBK2;B2R686;F8W8W7	-0.451	3	7.434	0	0
		H3BN98;I3L246;Q15041;F5GXP4;B7Z6R9;F5GY14;H3BPJ2;I3L303;H3BT37;H3BV27;A8K522;B7Z791;B7Z6S5	-0.452	1	7.423	0	0
DTYMK;LOC727761	Thymidylate kinase	P23919;Q53F55;Q6FGU2;H7BZ20;B7ZW70;H7C312;H7C3A4;G5E9E9	-0.452	1	7.132	0	0.00011
HLA-B		G1ENK8	-0.465	2	7.574	0	0
PNP	Purine nucleoside phosphorylase	Q8N7G1;P00491;G3V5M2;G3V308;Q9P1G4;G3V2H3;G3V393	-0.469	1	6.484	0	0
CANT1	Soluble calcium-activated nucleotidase 1	Q8WVQ1;B4DJ54;F8W9C9;F5H7Z7	-0.471	2	7.385	0	0
ACTN4;ACTN1;ACTN3;ACTN2	Alpha-actinin-4;Alpha-actinin-3;Alpha-actinin-1;Al	O43707;B4E337;E7EV83;B7TY16;B2R8Y4;Q08043;P12814;B4DSX0;B4DZQ2;B2RCS5;P35609;B7Z565;H9KV75;D6PXK4;Q86TX4;B7Z4V1;G3V2N5;B4DRP5;G3V2W4;G3V2X9;B7Z2N5;Q96BG6;A4K467;F5GXS2;G3V5M4;G3V2E8;H7C144;B3W6H3;D6RH00	-0.481	3	7.086	0	0
PCNT	Pericentrin	O95613;B4DKV6;E7ERP1;Q8IWJ7;H7C2A3;Q9H848	-0.484	27	7.914	0	0
PPP2CA;PPP2CB	Serine/threonine-protein phosphatase;Serine/threon	B3KRM2;B3KUN1;P62714;P67775;Q5U0I7;Q6I9T8;Q8WZ56;B3KQ51;H0YC23;H0YBN9;B7Z2C5;E5RHC1;E7ESG8;E5RHP4;E5RFI3	-0.485	1	7.242	0	0
GPR89A;GPR89B;GPR89C	Golgi pH regulator A;Golgi pH regulator B;Putative	B7ZAQ6;P0CG08;B4DT03;B4DY51;A6NKF9;E9PKY3;H0YFP4	-0.485	1	6.886	0	0.00019
CHMP6	Charged multivesicular body protein 6	I3L4A1;Q96FZ7;I3L4G8	-0.487	1	7.104	0	0.00016
PDIA6;P5	Protein disulfide-isomerase A6	B3KY95;B5MCQ5;B7Z4M8;F8WA83;Q15084;Q53RC7;B7Z254	-0.489	7	8.005	0	0
PRDX3	"Thioredoxin-dependent peroxide reductase, mitochon"	P30048;Q53HC2;E9PH29;A4UCS5	-0.495	2	7.095	0	1.00E-05
C5orf44	UPF0533 protein C5orf44	F5GXC3;A5PLN9;B7ZLB5;B7ZLB7	-0.501	3	7.717	0	0
IMPAD1	Inositol monophosphatase 3	Q9NX62;H0YBS3	-0.505	1	7.39	0	0
C20orf27	UPF0687 protein C20orf27	Q9GZN8	-0.508	1	6.822	0	0
GOLGB1	Golgin subfamily B member 1	B2ZZ91;E7EP74;Q14789;F1T0J2;E7EU81;B4DTZ9;H0Y867;B4DL98;E7EWX1;B4DQW7	-0.51	2	6.834	0	0
TMEM109	Transmembrane protein 109	B2R9T9;Q9BVC6;B4E1S3;E7ETZ3	-0.519	1	7.021	0	0.00236
SUMO3;SUMO2;SUMO4	Small ubiquitin-related modifier 3;Small ubiquitin	A8MU27;B4DUW4;A8MUA9;P55854;H7BZT4;P61956;Q6EEV6	-0.52	1	7.013	0	2.00E-04
RDH11	Retinol dehydrogenase 11	Q8TC12;B4DDW0;G3V234;G3V2G6;Q0QD40;H0YJ46;B3KQ19;H0YIZ8;H0YJ10	-0.527	1	7.147	0	0
PEBP1	Phosphatidylethanolamine-binding protein 1;Hippoca	D9IAI1;P30086;B4DRT4	-0.535	1	6.739	0	0
TM9SF2	Transmembrane 9 superfamily member 2	Q99805;B3KSG9	-0.537	13	8.457	0	0
LRP1	Prolow-density lipoprotein receptor-related protei	Q07954;Q59FG2;H0YJI8	-0.538	6	7.11	0	0
QSOX2	Sulfhydryl oxidase 2	Q6ZRP7;F8W6U6	-0.552	2	7.235	0	7.00E-05
CDK5RAP2;DKFZp686M1993;DKFZp686D1070;DKFZp686E2242	CDK5 regulatory subunit-associated protein 2	B3KVI2;Q66GT8;Q96SN8;B9EG74;A6H8X1;B7ZLE9;E9PCD3;Q7Z3M0;Q5CZA0;Q6MZT4;Q5JV17;F8WCI3;B1AMJ5;F8WF55;Q5JTU8;Q05CZ3;F8WBJ0;C9K0C9;Q5JTU9	-0.553	9	7.507	0	0
HLA-C;HLA-Cw;HLA-A;HLA-A*02;HLA-A*0226;MHC class I	"HLA class I histocompatibility antigen, Cw-7 alpha"	F5GXA6;F8VZB9;B4DVY0;A2ABE7;A2AEA4;A2ABE6;A2AEA2;A2ABE5;A4Q9R6;B2ZSE2;C1K0X7;C1K0X8;C1K0Y0;D3K0R2;D6CJC1;F1CZ00;H2B3H3;I2G9F8;O19617;P10321;Q001S2;Q27W00;Q3KT81;Q64EU5;Q6IVK0;Q6R739;Q6R742;Q7YQB2;Q85ZX8;Q860B0;A6H578;A6H581;A6Q0R3;A7WPJ2;A8YQF2;B0JF23;B3W	-0.554	1	7.338	0	0
DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	O43237;B4DZP4;B4DHD8;B4E2E0;E7EPL8;Q63HJ8;H3BUM4	-0.554	1	6.826	0	0
CLCN3	H(+)/Cl(-) exchange transporter 3	P51790;B9EGJ9;B7Z932;B3KXK0;E9PE15;A1L3U1;P51793;Q4G0X3;P51795;G3XAG5;B7Z5Z4;B3KRR2;A8K4H5;H0Y8Z8;F5H6A4;Q7Z4M4;D6RDZ6;D6RIX3	-0.555	8	7.857	0	0
ATP1B3	Sodium/potassium-transporting ATPase subunit beta-	P54709;F8WBY4;H7C547;D3DNF9;B7Z1N7;C9JA36;C9JXZ1	-0.556	2	7.016	0	0
SPCS2	Signal peptidase complex subunit 2	E9PI68;B4DDB9;Q15005;H0YE04	-0.559	1	6.812	0	0.00027
SCAMP1	Secretory carrier-associated membrane protein 1	O15126;A8K2G0;B4E2V7;B4DP10;Q96AZ4	-0.568	5	8.373	0	0
SCAMP4	Secretory carrier-associated membrane protein 4	H7BZ59;Q969E2	-0.573	2	8.115	0	0
LMBRD2	LMBR1 domain-containing protein 2	Q68DH5;B4DTZ7	-0.576	10	8.122	0	0
ARL6IP5	PRA1 family protein 3	B3KQB4;O75915;B4DZZ0;B4DWQ6;F8WF33;C9JQU6;F8WF90	-0.579	1	6.9	0	4.00E-05
PI4K2B	Phosphatidylinositol 4-kinase type 2-beta	Q8TCG2;B3KY39;B4DJZ0;G5E9Z4	-0.585	4	7.397	0	0
STX16-NPEPL1;STX16	Syntaxin-16	Q59G13;H3BU86;G8JLE0;O14662;C9K0W8;B4E3U3;E1P5M0;B7ZBM7;B7ZBM8;Q96NX8;B4DJX9;B7ZBM9	-0.585	1	6.767	0	0
VTI1A	Vesicle transport through interaction with t-SNARE	Q5W0D7;Q96AJ9	-0.59	3	7.998	0	0
SHINC3;TMEM33	Transmembrane protein 33	A6QKW0;P57088;D6RAA6;H0Y8N0;D6RBY2	-0.59	2	7.543	0	0
SURF4	Surfeit locus protein 4	O15260;B7Z7A8;B7Z8F3;Q5T8U7;Q5T8U5;B7Z1G8;B7Z605;B7Z6A4	-0.591	3	7.556	0	0
SORT1	Sortilin	A8KAQ3;Q99523;B4DWI3	-0.593	7	7.522	0	0
B2M	Beta-2-microglobulin;Beta-2-microglobulin form pI 	A6XMH4;B4E0X1;F5H6I0;P61769;A6XND9;H0YLF3	-0.599	1	7.289	0	0.0017
B4GALT1	"Beta-1,4-galactosyltransferase 1;Lactose synthase "	P15291;B4DLB8;F5H0P7;B7ZAH9	-0.602	1	6.897	0	0.00014
IPO5	Importin-5	H0Y8C6;O00410;B4E0R6	-0.605	1	6.589	0	0
ESYT1	Extended synaptotagmin-1	B3KMV5;Q9BSJ8;B3KY56;F8VZB1	-0.622	5	7.722	0	0
ERP29	Endoplasmic reticulum resident protein 29	P30040;F8VY02;C9J183	-0.627	2	7.426	0	0
STX7	Syntaxin-7	O15400;B4DH37	-0.629	5	8.293	0	0
POP1	Ribonucleases P/MRP protein subunit POP1	Q96F88;Q99575;E5RK39	-0.629	3	7.457	0	0
KIAA1467;DKFZp762C0813	Uncharacterized protein KIAA1467	A2RU67;Q69YM1;B4DGR8	-0.63	1	6.55	0	0.00013
NCAPG2	Condensin-2 complex subunit G2	B3KRQ2;Q86XI2;H0Y6U5;E7EUH9;Q9NXD3;B4DXB7;F5H7R2;B4DHE5;Q75L29	-0.633	1	6.351	0	0
GLB1L2	Beta-galactosidase-1-like protein 2	Q8IW92;H0YCY4;Q8NCG3	-0.642	1	6.709	0	0.00131
TMEM230;C20orf30	Transmembrane protein 230	Q96A57;Q5JWB9	-0.644	1	7.538	0	3.00E-05
GOLGA2	Golgin subfamily A member 2	Q08379;B7ZC06;H0Y7B8;B7ZC05;Q5HYE0;Q5PXD5;A8MZ06	-0.654	11	8.145	0	0
CLIC1	Chloride intracellular channel protein 1	O00299;Q53FB0;Q5SRT3	-0.656	1	6.832	0	0.00403
WDFY1	WD repeat and FYVE domain-containing protein 1	Q8IWB7;Q9H8N9;C9JJ54	-0.678	10	8.45	0	0
RTN3		B7Z4M0;B7Z4M1	-0.682	1	7.176	0	0
KDELR3	ER lumen protein retaining receptor 3	O43731	-0.684	3	7.292	0	0
ZDHHC17;ZDHHC13	Palmitoyltransferase ZDHHC17;Palmitoyltransferase 	Q8IUH5;A8KA01;C9JYJ4;Q8IUH4;H0YIK0;H0YI74;F8VPW2	-0.685	2	7.116	0	1.00E-05
YWHAG	"14-3-3 protein gamma;14-3-3 protein gamma, N-termi"	P61981;B4DE78;B3KNB4;B4DHC4	-0.686	1	7.126	0	0
ATP6AP1;DKFZp434B0535;FLJ00383	V-type proton ATPase subunit S1	Q15904;Q8NBT4;Q9H0C7;B3KR70;Q8NF19;B4DWM8;F8W684	-0.693	4	8.159	0	0
SLC38A1	Sodium-coupled neutral amino acid transporter 1	F8VX04;Q9H2H9;Q8NCD8;F8VX12	-0.697	4	7.843	0	0
KIF11	Kinesin-like protein KIF11	B2RAM6;P52732;Q59GZ5	-0.702	1	6.612	0	0
SFT2D2	Vesicle transport protein SFT2B	O95562;Q5TIH2	-0.707	1	7.156	0	0.00045
SLC35A1	CMP-sialic acid transporter	P78382;B4DEM1	-0.709	1	6.942	0	0
ARF6	ADP-ribosylation factor 6	P62330;Q5U025;Q6FGZ2;Q6FH17	-0.713	1	6.993	0	0.00013
PRRC1	Protein PRRC1	C9J436;G3XAL7;Q96M27;C9JTJ7	-0.715	2	7.418	0	0
STXBP3	Syntaxin-binding protein 3	O00186	-0.721	6	8.031	0	0
SLC35B2	Adenosine 3-phospho 5-phosphosulfate transporter 1	Q8TB61;B3KVY9;B4DDU9;F5H7Y9;B4DDM2	-0.722	8	8.399	0	0
YIPF4	Protein YIPF4	Q9BSR8;H7C0D5	-0.725	2	8.202	0	0
FAM3C	Protein FAM3C	Q92520;C9JMN4;C9JP35;C9J2R0	-0.728	3	7.513	0	0
SLC35E1	Solute carrier family 35 member E1	Q96K37;H7C1I0	-0.735	1	6.847	0	0.00102
ESYT2	Extended synaptotagmin-2	A0FGR8;H7BXI1;C9JGI7	-0.738	1	7	0	0
SYP	Synaptophysin	P08247;H7C4W3;B7Z359	-0.739	5	7.784	0	0
RCN1	Reticulocalbin-1	Q15293;B7Z1M1;Q5J7V8;E9PJD5;E9PNT6;E9PP27	-0.784	2	7.723	0	0
TM9SF4	Transmembrane 9 superfamily member 4	Q92544;B4DKC1;B4DH88;Q6ZTK5;B4DYH6;F5H3B5	-0.786	8	8.368	0	0
SLC7A5;lat1	Large neutral amino acids transporter small subuni	Q01650;Q96QB2	-0.792	1	6.682	0	0.00231
STEAP3	Metalloreductase STEAP3	Q658P3;B8ZZX6	-0.795	1	6.978	0	0.00342
GLG1	Golgi apparatus protein 1	Q92896;H3BM42;Q6ZMF1;REV__B7Z395;H3BQU9;H3BQT1	-0.805	25	8.314	0	0
TRAPPC2;TRAPPC2P1	Trafficking protein particle complex subunit 2;Tra	G1K394;P0DI81;P0DI82;Q6IBE5	-0.807	1	6.852	0	0
MAN2A1	Alpha-mannosidase 2	Q16706;A5PKX5;P49641;H0YNG5;H0YLB9;B4DIK4	-0.823	4	7.267	0	0
SCAMP2	Secretory carrier-associated membrane protein 2	A8K769;O15127;Q6IBK3;B3KU14;F5H353;H3BPL9;H3BUB6;H3BN93;H3BV04	-0.824	2	8.014	0	0
XPO1	Exportin-1	O14980;B4DR01;B7ZB16;B3KWD0	-0.832	3	7.242	0	0
ERP44	Endoplasmic reticulum resident protein 44	Q9BS26	-0.833	3	7.911	0	0
TUFM	"Elongation factor Tu, mitochondrial"	P49411	-0.833	3	7.55	0	0
DSG2	Desmoglein-2	Q14126	-0.834	3	7.167	0	0
KIAA2013;LOC728138	Uncharacterized protein KIAA2013	Q8IYS2;B2RXJ9	-0.853	3	7.743	0	0
B3GNT1	"N-acetyllactosaminide beta-1,3-N-acetylglucosaminy"	B3KQQ7;O43505;B4DEN5;B4DGI0	-0.868	9	8.212	0	0
GOLPH3	Golgi phosphoprotein 3	Q9H4A6;B4DWL6;B3KQ71;F5H7W9;B4DDX1;B3KS18	-0.877	1	7.122	0	0
HLA-C		C0KK01;C9E1I4	-0.882	1	6.629	0	0
CS	"Citrate synthase, mitochondrial;Citrate synthase"	O75390;B4DJV2;B3KTN4;B7Z1E1;Q0QEL2;H0YH82;F8W4S1;F8W1S4;F8VTT8;F8VPA1;F8VPF9;H0YIC4;F8VX68;F8VRP1;F8VX07;F8VZK9;F8W642	-0.883	1	6.858	0	0
GALNT2	Polypeptide N-acetylgalactosaminyltransferase 2;Po	Q10471;B7Z6K2;G3V1S6;F5GYB2;B7Z462;B7Z8V8;Q8N4A0;F8VUJ3;B4DMX6	-0.887	17	8.689	0	0
VPS45	Vacuolar protein sorting-associated protein 45	Q53FR8;Q9NRW7;B7Z360;B7Z5E4;F5H8K1;A0AR27;F5GYC3;B7Z5D4;B7Z1J7;Q5T4Q0;B7Z7G7	-0.897	15	8.488	0	0
GLT8D1	Glycosyltransferase 8 domain-containing protein 1	Q68CQ7;C9J880;C9JA13;C9JPK4	-0.901	1	6.705	0	0
PRAF2	PRA1 family protein 2	B3KN29;O60831;A6NP52	-0.908	1	7.074	0	0
YIPF3;RP3-337H4.3	Protein YIPF3	E7EQR8;Q9GZM5;Q5JTD5;Q9HAM0;D6RFI3;Q5JTD4;D6RGI4;D6RGY8;H0Y9A1	-0.911	5	8.224	0	0
GOLIM4	Golgi integral membrane protein 4	O00461;F8W785	-0.918	6	7.885	0	0
VAMP4	Vesicle-associated membrane protein 4	O75379;Q6IAZ3	-0.918	1	6.932	0	1.00E-04
STX12	Syntaxin-12	Q86Y82;Q6LEU0;B1AJQ6;B4DSZ1;B0AZT9	-0.919	7	8.377	0	0
FUT8	"Alpha-(1,6)-fucosyltransferase"	A8K8P8;Q546E0;Q9BYC5;G3XAD2;B4DFS7;G3V5N0;A5PLL2	-0.919	2	7.361	0	0
ZFPL1	Zinc finger protein-like 1	O95159;E9PNY1;E9PQ47;E9PQA5;E9PMQ3;B4DHV1;H0YCU8	-0.921	1	7.261	0	0.00032
LNPEP	Leucyl-cystinyl aminopeptidase;Leucyl-cystinyl ami	B2RAK1;Q9UIQ6	-0.924	18	8.057	0	0
ATP6V0A2	V-type proton ATPase 116 kDa subunit a isoform 2	Q9Y487;Q8TBM3;F5H5F3;B4DQF7	-0.928	4	7.658	0	0
RAB9A	Ras-related protein Rab-9A	P51151	-0.928	1	6.398	0	0.00311
STX10	Syntaxin-10	O60499;Q5U8S2	-0.935	3	7.778	0	0
RER1	Protein RER1	Q9P0H9;O15258;Q5T094;Q6IBJ7;Q5T091;Q5T092;Q5T093	-0.936	3	7.899	0	0
CALU	Calumenin	B3KQF5;O43852;Q6IAW5;D6QS49;B3KNG6;D6QS50;F5H4F5;D6QS54;F5H879;D6QS59;F5H1Q9;D6QS53;D6QS58;F5H3F1;H0Y875;D6QS57;B3KQK3	-0.939	2	7.455	0	0
TM9SF1	Transmembrane 9 superfamily member 1	B7Z6C9;E9PSI1;O15321;E9PMQ9;A8K7U5;E9PJM1;E9PL78;E9PS99;E9PQY7;B4E3A9;G3V1B9;E9PJC4;E9PNW2	-0.944	5	7.865	0	0
RAB2B;DKFZp313C1541	Ras-related protein Rab-2B	Q8WUD1;Q5HYI5;B4DUD4;Q6NZ33;Q96K32	-0.965	1	7.372	0	0
STRN3	Striatin-3	Q13033;G3V340;G3V3G7;Q0VAF9;B4DQH7;Q0VAF8	-0.974	25	8.728	0	0
TMEM181	Transmembrane protein 181	Q9P2C4;Q8N4V6;H0Y2T7	-0.982	1	7.406	0	0.0035
RAB5B	Ras-related protein Rab-5B	P61020;Q6FI54;B4DKD7;H0YHA1;F8VVK3;F8VUA5;F8VVZ0;F8VWU4;F8VWZ7;F8VSF8;F8VPW9;F8WD79;F8WCY6;F8WC93	-0.991	3	7.586	0	0
PODXL	Podocalyxin	B7ZKQ8;F5GWY5;O00592;F5H7A2;Q96N83;F5H3W1	-0.996	1	6.789	0	0
GALNT1	Polypeptide N-acetylgalactosaminyltransferase 1;Po	Q10472;F5GY99;Q05BM8;A8KAJ7;Q68VJ7;B3KY85;Q68VI8;Q8IUC8;Q08ER7;H7C2I5	-1.003	9	8.107	0	0
HS2ST1	Heparan sulfate 2-O-sulfotransferase 1	B3KN15;Q7LGA3;A6ND99	-1.008	3	7.515	0	0
